name,aisle,climate,veganAlternative,description,,
ground chuck beef,🥩 Meat,🔴 F (99),jackfruit,,,
jackfruit,🥬 Produce,,,,,
onion powder,🧂 Spices,,,,,
salt,🧂 Spices,,,,,
garlic powder,🧂 Spices,,,,,
ipa beer,🍺 Alcohol,,,,,
tomato sauce/puree,🥫 Canned Goods,,,,,
ground ancho chili powder,🧂 Spices,,,,,
ground cumin,🧂 Spices,,,,,
paprika,🧂 Spices,,,,,
cocoa powder,🍞 Baking,,,,,
dried oregano,🧂 Spices,,,,,
ground cayenne pepper,🧂 Spices,,,,,
ground cinnamon,🧂 Spices,,,,,
poblano peppers,🥬 Produce,,,,,
kidney beans,🥫 Canned Goods,,,,,
black beans,🥫 Canned Goods,,,,,
grated cheddar,🐮 Dairy,🟡 C (24),,,,
avocado,🥬 Produce,,,,,
sour cream,🐮 Dairy,🟢 B+ (3),,,,
jalapeño,🥬 Produce,🟢 A (0.5),,,,
salsa,Condiments,,,,,
tortilla chips,🍿 Snacks,,,,,
Fritos,🍿 Snacks,,,,,
corn bread,🍞 Baking,,,,,
gochugaru,🧂 Spices,,,Korean red chile flakes,,
fish sauce,Pantry,,,,,
gochujang,🥫 Canned Goods,,,Korean chile paste,,
soy sauce,Pantry,,,,,
White onion,🥬 Produce,🟢 A (0.5),,,,
Dark chocolate,🍿 Snacks,🔴 D (47),,,,
Pork shoulder,🥩 Meat,🟡 C (12),jackfruit,,,
Abalone,,,,,,
Açaí berries,,,,,,
Açaí juice,,,,,,
Acorn squash,,,,,,
Adzuki bean paste,,,,,,
Adzuki beans,,,,,,
Aged Japanese kurozu,,,,,,
Albacore tuna,,,,,,
Alcohol,,,,,,
Ale,,,,,,
Alfalfa sprouts,,,,,,
Algae,,,,,,
Almond milk,,,,,,
Almond paste,,,,,,
Almonds,,,,,,
Ancho chili powder,,,,,,
Anchovies,,,,,,
Anchovy paste,,,,,,
Angus beef,,,,,,
Apple juice,,,,,,
Apples,🍌 Fruit,,,,,
Apricots,,,,,,
Apricots,,,,,,
Arborio rice,,,,,,
Arctic char,,,,,,
Artichoke,,,,,,
Artichokes,,,,,,
Arugula,,,,,,
Asian greens,,,,,,
Asparagus,,,,,,
Asparagus,,,,,,
Autumn crocus,,,,,,
Avocado oil,,,,,,
Avocados,,,,,,
Bacon,,,,,,
Balsamic vinegar,,,,,,
Bananas,🍌 Fruit,🟢 A (0.8),,,,
Barbecued meat,,,,,,
Basil,,,,,,
Bean curd,,,,,,
Beef,,,,,,
Beer,,,,,,
Beets,,,,,,
Bell peppers,,,,,,
Bitter almond oil,,,,,,
Bitter cucumber,,,,,,
Bitter melon,,,,,,
Black beans,,,,,,
Black cumin,,,,,,
Black currants,,,,,,
Black or purple rice,,,,,,
Black pepper,🧂 Spices,,,,,
Black tea,,,,,,
Blackberries,,,,,,
Blueberries,,,,,,
Bok choy,🥬 Produce,🟢 A (0.5),,,,
Boysenberries,,,,,,
Brazil nuts,,,,,,
Bread,,,,,,
Broccoli,,,,,,
Broccoli sprouts,,,,,,
Brown mustard,,,,,,
Brown rice,,,,,,
Brown rice syrup,,,,,,
Brussels sprouts,,,,,,
Buckwheat,,,,,,
Butter,,,,,,
Butternut squash,,,,,,
Cabbage,,,,,,
Canola oil,,,,,,
Cantaloupe,,,,,,
Carrots,,,,,,
Cashews,,,,,,
Cauliflower,,,,,,
Caviar,,,,,,
Celeriac,,,,,,
Celery,,,,,,
Celery seed,,,,,,
Chamomile,,,,,,
Cheese,,,,,,
Cherries,🍌 Fruit,,,,,
Chicken,,,,,,
Chickpeas,,,,,,
Chilli peppers,,,,,,
Chives,,,,,,
Chocolate,,,,,,
Cilantro,,,,,,
Cinnamon,,,,,,
Clams,,,,,,
Coconut,,,,,,
Coconut oil,,,,,,
Coffee,,,,,,
Collard greens,,,,,,
Corn,,,,,,
Corn oil,,,,,,
Crab,,,,,,
Cranberries,,,,,,
Cream,,,,,,
Cucumbers,,,,,,
Cumin,,,,,,
Curcumin,,,,,,
Currants,,,,,,
Daidzein,,,,,,
Dal,,,,,,
Dill,,,,,,
Dried herring,,,,,,
Dried mackerel,,,,,,
Dry beans,,,,,,
Edamame,,,,,,
Eggs,🥚 Eggs,🟡 B (4.7),,,,
Escargot,,,,,,
Fennel,,,,,,
Fennel seed,,,,,,
Fermented bean paste,,,,,,
Fermented milk,,,,,,
Flaxseed,,,,,,
Flaxseed oil,,,,,,
Fried potatoes,,,,,,
Garbanzo beans,,,,,,
Garden cress,,,,,,
Garlic,🥬 Produce,🟢 A (0.5),,,,
Genistein,,,,,,
Ghee,,,,,,
Ginger,🥬 Produce,🟢 A (0.5),,,,
Grape seed oil,,,,,,
Grapefruit,,,,,,
Grapes,,,,,,
Gravy,,,,,,
Green beans,,,,,,
Green onions,,,,,,
Green papaya,,,,,,
Green peas,,,,,,
Green tea,,,,,,
Greens,,,,,,
Guacamole,,,,,,
Halibut,,,,,,
Ham,,,,,,
Herring,,,,,,
Holy basil,,,,,,
Honey,,,,,,
Honeydew melon,,,,,,
Horseradish,,,,,,
Hot peppers,,,,,,
Hummus,,,,,,
Indian mustard,,,,,,
Kale,,,,,,
Kefir,,,,,,
Kelp,,,,,,
Kidney beans,,,,,,
King mackerel,,,,,,
Kiwifruit,,,,,,
Kohlrabi,,,,,,
Kumquats,,,,,,
Lake trout,,,,,,
Lamb,,,,,,
Lard,,,,,,
Lavender,,,,,,
Leeks,,,,,,
Lemons,,,,,,
Lentils,,,,,,
Lettuce,,,,,,
Lima beans,,,,,,
Limes,,,,,,
Lingonberries,,,,,,
Liquor,,,,,,
Liver,,,,,,
Lobster,,,,,,
Loganberries,,,,,,
Long pepper,,,,,,
Low-fat yogurt,,,,,,
Macadamia nut oil,,,,,,
Macadamia nuts,,,,,,
Mackerel,,,,,,
Maitake mushrooms,,,,,,
Mangoes,,,,,,
Mangosteen,,,,,,
Margarine,,,,,,
Marionberrries,,,,,,
Maté,,,,,,
Mayonnaise,,,,,,
Melons,,,,,,
Mexican oregano,,,,,,
Milk,🐮 Dairy,🟢 B+ (3),Soy milk,,,
Mint,,,,,,
